Name,Priesthood date
Henry Winter Syle,1883-10-14
Austin Ward Mann,1883-10-14
Jacob M. Koehler,1887-11-02
Job Turner,1891-06-26
James Henry Cloud,1893-01-01
Charles Orvis Dantzer,1895-06-05
Oliver J. Whildin,1901-06-27
Harry John Van Allen,1902-02-20
Franklin C. Smielau,1902-06-01
George Frederick Flick,1907-05-26
John H. Keiser,1908-12-20
George Henry Hefflon,1910-06-02
Brewster R. Allabough,1911-12-24
Herbert C. Merrill,1914-02-24
Hobart Lorraine Tracy,1915-06-27
Clarence W. Charles,1919-12-27
Henry J. Pulver,1922-11-30
Warren M. Smaltz,1923-12-23
Homer E. Grace,1925-03-07
J. Stanley Light,1926-01-12
Guilbert C. Braddock,1926-05-30
Collins Stone Sawhill,1927-05-26
Olaf Hanson,1929-01-06
Roma C. Fortune,1929-01-27
Arthur O. Steidemann,1929-12-22
Horace B. Waters,1931-06-11
Robert C. Fletcher,1931-06-28
Gustav C. Meckling,1937-05-24
Bengt Olaf Georg Almo,1939-07-02
"William M. Lange, Jr.",1943-02-07
Arthur G. Leisman,1943-05-30
Otto B. Berg,1944-05-27
James Clifford Ellerhorst,1944-12-18
Edwin W. Nies,1950-01-08
Silas James Hirte,1950-12-03
"Steve L. Mathias, III",1955-05-21
Douglas Stewart Slasor,1958-12-20
Roger A Pickering,1963-01-06
Jesse A. Pope,1965-03-06
Camille L. Desmarais,1966-12-18
Jay Leslie Croft,1969-12-20
James Francis Alby,1972-12-11
Thomas Michael Rardin,1978-02-04