GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AC3001,AC3002,AC3003,ACG001
"G0100010","1840","Alabama","010","Autauga","0010","Autauga",1,0,0,5
"G0100030","1840","Alabama","010","Baldwin","0030","Baldwin",0,0,0,0
"G0100050","1840","Alabama","010","Barbour","0050","Barbour",2,3,0,0
"G0100055","1840","Alabama","010","Benton","0055","Benton",2,2,3,4
"G0100070","1840","Alabama","010","Bibb","0070","Bibb",0,1,1,0
"G0100090","1840","Alabama","010","Blount","0090","Blount",1,1,0,0
"G0100130","1840","Alabama","010","Butler","0130","Butler",0,1,0,0
"G0100170","1840","Alabama","010","Chambers","0170","Chambers",1,0,0,1
"G0100190","1840","Alabama","010","Cherokee","0190","Cherokee",4,2,3,1
"G0100250","1840","Alabama","010","Clarke","0250","Clarke",2,0,1,1
"G0100350","1840","Alabama","010","Conecuh","0350","Conecuh",0,0,2,1
"G0100370","1840","Alabama","010","Coosa","0370","Coosa",3,0,0,0
"G0100390","1840","Alabama","010","Covington","0390","Covington",0,1,0,1
"G0100450","1840","Alabama","010","Dale","0450","Dale",0,1,1,0
"G0100470","1840","Alabama","010","Dallas","0470","Dallas",4,6,4,6
"G0100490","1840","Alabama","010","DeKalb","0490","Dekalb",0,0,0,1
"G0100570","1840","Alabama","010","Fayette","0570","Fayette",0,0,1,0
"G0100590","1840","Alabama","010","Franklin","0590","Franklin",0,1,2,3
"G0100630","1840","Alabama","010","Greene","0630","Greene",2,0,0,3
"G0100670","1840","Alabama","010","Henry","0670","Henry",1,0,0,0
"G0100710","1840","Alabama","010","Jackson","0710","Jackson",2,3,4,3
"G0100730","1840","Alabama","010","Jefferson","0730","Jefferson",0,1,0,0
"G0100770","1840","Alabama","010","Lauderdale","0770","Lauderdale",3,3,0,1
"G0100790","1840","Alabama","010","Lawrence","0790","Lawrence",3,1,1,2
"G0100830","1840","Alabama","010","Limestone","0830","Limestone",2,0,0,1
"G0100850","1840","Alabama","010","Lowndes","0850","Lowndes",0,0,0,0
"G0100870","1840","Alabama","010","Macon","0870","Macon",3,3,0,1
"G0100890","1840","Alabama","010","Madison","0890","Madison",3,1,3,2
"G0100910","1840","Alabama","010","Marengo","0910","Marengo",1,0,1,0
"G0100930","1840","Alabama","010","Marion","0930","Marion",0,0,0,0
"G0100950","1840","Alabama","010","Marshall","0950","Marshall",8,1,4,0
"G0100970","1840","Alabama","010","Mobile","0970","Mobile",6,3,3,0
"G0100990","1840","Alabama","010","Monroe","0990","Monroe",1,0,0,2
"G0101010","1840","Alabama","010","Montgomery","1010","Montgomery",1,2,0,3
"G0101030","1840","Alabama","010","Morgan","1030","Morgan",4,3,2,0
"G0101050","1840","Alabama","010","Perry","1050","Perry",0,0,0,0
"G0101070","1840","Alabama","010","Pickens","1070","Pickens",2,6,2,1
"G0101090","1840","Alabama","010","Pike","1090","Pike",2,0,2,1
"G0101110","1840","Alabama","010","Randolph","1110","Randolph",1,0,2,0
"G0101130","1840","Alabama","010","Russell","1130","Russell",0,0,0,0
"G0101150","1840","Alabama","010","St Clair","1150","St Clair",1,0,3,0
"G0101170","1840","Alabama","010","Shelby","1170","Shelby",0,1,0,0
"G0101190","1840","Alabama","010","Sumter","1190","Sumter",0,3,2,4
"G0101210","1840","Alabama","010","Talladega","1210","Talladega",2,0,0,3
"G0101230","1840","Alabama","010","Tallapoosa","1230","Tallapoosa",0,0,0,0
"G0101250","1840","Alabama","010","Tuscaloosa","1250","Tuscaloosa",0,0,0,0
"G0101270","1840","Alabama","010","Walker","1270","Walker",4,3,0,1
"G0101290","1840","Alabama","010","Washington","1290","Washington",0,0,0,0
"G0101310","1840","Alabama","010","Wilcox","1310","Wilcox",0,0,1,1
"G0500010","1840","Arkansas","050","Arkansas","0010","Arkansas",0,0,0,0
"G0500070","1840","Arkansas","050","Benton","0070","Benton",0,0,0,0
"G0500150","1840","Arkansas","050","Carroll","0150","Carroll",0,0,0,0
"G0500170","1840","Arkansas","050","Chicot","0170","Chicot",0,0,0,0
"G0500190","1840","Arkansas","050","Clark","0190","Clark",0,0,0,0
"G0500290","1840","Arkansas","050","Conway","0290","Conway",0,0,0,1
"G0500330","1840","Arkansas","050","Crawford","0330","Crawford",0,0,0,0
"G0500350","1840","Arkansas","050","Crittenden","0350","Crittenden",0,1,0,0
"G0500410","1840","Arkansas","050","Desha","0410","Desha",0,0,0,0
"G0500470","1840","Arkansas","050","Franklin","0470","Franklin",2,0,0,0
"G0500550","1840","Arkansas","050","Greene","0550","Greene",2,0,1,0
"G0500570","1840","Arkansas","050","Hempstead","0570","Hempstead",4,0,0,1
"G0500590","1840","Arkansas","050","Hot Spring","0590","Hot Spring",0,0,0,0
"G0500630","1840","Arkansas","050","Independence","0630","Independence",2,0,2,0
"G0500650","1840","Arkansas","050","Izard","0650","Izard",0,0,0,0
"G0500670","1840","Arkansas","050","Jackson","0670","Jackson",0,0,0,0
"G0500690","1840","Arkansas","050","Jefferson","0690","Jefferson",0,0,0,0
"G0500710","1840","Arkansas","050","Johnson","0710","Johnson",0,0,0,0
"G0500730","1840","Arkansas","050","Lafayette","0730","Lafayette",0,0,0,0
"G0500750","1840","Arkansas","050","Lawrence","0750","Lawrence",0,0,0,0
"G0500870","1840","Arkansas","050","Madison","0870","Madison",0,1,0,0
"G0500890","1840","Arkansas","050","Marion","0890","Marion",0,0,0,0
"G0500930","1840","Arkansas","050","Mississippi","0930","Mississippi",0,0,0,0
"G0500950","1840","Arkansas","050","Monroe","0950","Monroe",0,0,1,0
"G0501070","1840","Arkansas","050","Phillips","1070","Phillips",1,2,1,0
"G0501090","1840","Arkansas","050","Pike","1090","Pike",0,0,0,0
"G0501110","1840","Arkansas","050","Poinsett","1110","Poinsett",0,0,0,0
"G0501150","1840","Arkansas","050","Pope","1150","Pope",1,0,0,0
"G0501190","1840","Arkansas","050","Pulaski","1190","Pulaski",0,0,1,0
"G0501210","1840","Arkansas","050","Randolph","1210","Randolph",0,0,0,0
"G0501230","1840","Arkansas","050","St Francis","1230","St Francis",0,0,0,0
"G0501250","1840","Arkansas","050","Saline","1250","Saline",0,0,0,0
"G0501270","1840","Arkansas","050","Scott","1270","Scott",0,0,0,0
"G0501290","1840","Arkansas","050","Searcy","1290","Searcy",0,0,0,0
"G0501330","1840","Arkansas","050","Sevier","1330","Sevier",1,0,0,0
"G0501390","1840","Arkansas","050","Union","1390","Union",1,0,4,0
"G0501410","1840","Arkansas","050","Van Buren","1410","Van Buren",0,0,0,0
"G0501430","1840","Arkansas","050","Washington","1430","Washington",4,7,1,0
"G0501450","1840","Arkansas","050","White","1450","White",0,0,0,0
"G0900010","1840","Connecticut","090","Fairfield","0010","Fairfield",3,3,7,0
"G0900030","1840","Connecticut","090","Hartford","0030","Hartford",33,107,36,0
"G0900050","1840","Connecticut","090","Litchfield","0050","Litchfield",3,4,11,0
"G0900070","1840","Connecticut","090","Middlesex","0070","Middlesex",2,3,6,1
"G0900090","1840","Connecticut","090","New Haven","0090","New Haven",9,3,19,5
"G0900110","1840","Connecticut","090","New London","0110","New London",5,12,11,2
"G0900130","1840","Connecticut","090","Tolland","0130","Tolland",0,4,10,0
"G0900150","1840","Connecticut","090","Windham","0150","Windham",5,5,8,0
"G1000010","1840","Delaware","100","Kent","0010","Kent",4,5,3,3
"G1000030","1840","Delaware","100","New Castle","0030","New Castle",3,3,4,2
"G1000050","1840","Delaware","100","Sussex","0050","Sussex",11,7,5,3
"G1100005","1840","District Of Columbia","110","Alexandria","0005","Alexandria",0,2,0,3
"G1100017","1840","District Of Columbia","110","Georgetown","0017","Georgetown",0,0,0,0
"G1100035","1840","District Of Columbia","110","Rural Alexandria County","0035","Rural Alexandria County",0,0,0,0
"G1100075","1840","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",1,1,0,0
"G1100115","1840","District Of Columbia","110","Washington City","0115","Washington City",0,2,2,1
"G1250015","1840","Florida Territory","125","Alachua","0015","Alachua",0,0,0,0
"G1250035","1840","Florida Territory","125","Columbia","0035","Columbia",0,0,2,0
"G1250055","1840","Florida Territory","125","Dade","0055","Dade",0,0,0,0
"G1250075","1840","Florida Territory","125","Duval","0075","Duval",0,0,0,0
"G1250095","1840","Florida Territory","125","Escambia","0095","Escambia",0,0,0,1
"G1250115","1840","Florida Territory","125","Franklin","0115","Franklin",0,0,0,0
"G1250125","1840","Florida Territory","125","Calhoun","0125","Calhoun",0,0,0,0
"G1250135","1840","Florida Territory","125","Gadsden","0135","Gadsden",0,0,0,0
"G1250155","1840","Florida Territory","125","Hamilton","0155","Hamilton",0,0,0,0
"G1250175","1840","Florida Territory","125","Hillsborough","0175","Hillsborough",0,0,0,0
"G1250195","1840","Florida Territory","125","Jackson","0195","Jackson",3,0,0,0
"G1250215","1840","Florida Territory","125","Jefferson","0215","Jefferson",1,0,0,1
"G1250235","1840","Florida Territory","125","Leon","0235","Leon",0,0,0,0
"G1250255","1840","Florida Territory","125","Madison","0255","Madison",0,2,0,0
"G1250275","1840","Florida Territory","125","Monroe","0275","Monroe",0,0,1,0
"G1250295","1840","Florida Territory","125","Mosquito","0295","Mosquito",0,0,0,0
"G1250315","1840","Florida Territory","125","Nassau","0315","Nassau",0,0,0,0
"G1250355","1840","Florida Territory","125","St Johns","0355","St Johns",1,0,1,0
"G1250375","1840","Florida Territory","125","Walton","0375","Walton",1,2,0,0
"G1250395","1840","Florida Territory","125","Washington","0395","Washington",0,0,0,0
"G1300010","1840","Georgia","130","Appling","0010","Appling",0,0,0,0
"G1300070","1840","Georgia","130","Baker","0070","Baker",1,1,3,2
"G1300090","1840","Georgia","130","Baldwin","0090","Baldwin",0,0,0,1
"G1300210","1840","Georgia","130","Bibb","0210","Bibb",0,0,0,0
"G1300290","1840","Georgia","130","Bryan","0290","Bryan",0,0,0,0
"G1300310","1840","Georgia","130","Bulloch","0310","Bulloch",1,0,0,0
"G1300330","1840","Georgia","130","Burke","0330","Burke",2,2,1,6
"G1300350","1840","Georgia","130","Butts","0350","Butts",0,0,0,0
"G1300390","1840","Georgia","130","Camden","0390","Camden",0,0,0,1
"G1300395","1840","Georgia","130","Campbell","0395","Campbell",2,4,1,0
"G1300450","1840","Georgia","130","Carroll","0450","Carroll",2,0,3,0
"G1300455","1840","Georgia","130","Cass","0455","Cass",2,0,5,2
"G1300510","1840","Georgia","130","Chatham","0510","Chatham",0,1,0,2
"G1300550","1840","Georgia","130","Chattooga","0550","Chattooga",1,1,0,0
"G1300570","1840","Georgia","130","Cherokee","0570","Cherokee",0,0,0,0
"G1300590","1840","Georgia","130","Clarke","0590","Clarke",0,2,1,2
"G1300670","1840","Georgia","130","Cobb","0670","Cobb",1,0,0,0
"G1300730","1840","Georgia","130","Columbia","0730","Columbia",0,1,1,2
"G1300770","1840","Georgia","130","Coweta","0770","Coweta",0,3,0,0
"G1300790","1840","Georgia","130","Crawford","0790","Crawford",0,1,0,0
"G1300830","1840","Georgia","130","Dade","0830","Dade",0,0,0,0
"G1300870","1840","Georgia","130","Decatur","0870","Decatur",0,1,0,0
"G1300890","1840","Georgia","130","DeKalb","0890","De Kalb",0,0,0,0
"G1300930","1840","Georgia","130","Dooly","0930","Dooly",0,1,1,1
"G1300990","1840","Georgia","130","Early","0990","Early",0,0,1,1
"G1301030","1840","Georgia","130","Effingham","1030","Effingham",0,0,0,0
"G1301050","1840","Georgia","130","Elbert","1050","Elbert",0,0,0,1
"G1301070","1840","Georgia","130","Emanuel","1070","Emanuel",2,0,1,0
"G1301130","1840","Georgia","130","Fayette","1130","Fayette",1,0,2,1
"G1301150","1840","Georgia","130","Floyd","1150","Floyd",0,0,0,1
"G1301170","1840","Georgia","130","Forsyth","1170","Forsyth",1,1,0,0
"G1301190","1840","Georgia","130","Franklin","1190","Franklin",0,0,4,0
"G1301230","1840","Georgia","130","Gilmer","1230","Gilmer",0,0,0,0
"G1301270","1840","Georgia","130","Glynn","1270","Glynn",0,0,0,2
"G1301330","1840","Georgia","130","Greene","1330","Greene",1,1,0,0
"G1301350","1840","Georgia","130","Gwinnett","1350","Gwinnett",7,0,3,0
"G1301370","1840","Georgia","130","Habersham","1370","Habersham",1,0,2,1
"G1301390","1840","Georgia","130","Hall","1390","Hall",1,5,1,1
"G1301410","1840","Georgia","130","Hancock","1410","Hancock",5,0,0,0
"G1301450","1840","Georgia","130","Harris","1450","Harris",5,6,1,0
"G1301490","1840","Georgia","130","Heard","1490","Heard",0,1,0,1
"G1301510","1840","Georgia","130","Henry","1510","Henry",4,0,1,0
"G1301530","1840","Georgia","130","Houston","1530","Houston",0,0,0,0
"G1301550","1840","Georgia","130","Irwin","1550","Irwin",0,0,0,0
"G1301570","1840","Georgia","130","Jackson","1570","Jackson",0,2,0,0
"G1301590","1840","Georgia","130","Jasper","1590","Jasper",0,0,1,3
"G1301630","1840","Georgia","130","Jefferson","1630","Jefferson",0,0,0,0
"G1301690","1840","Georgia","130","Jones","1690","Jones",0,1,1,4
"G1301750","1840","Georgia","130","Laurens","1750","Laurens",1,2,0,1
"G1301770","1840","Georgia","130","Lee","1770","Lee",0,2,0,0
"G1301790","1840","Georgia","130","Liberty","1790","Liberty",1,0,1,3
"G1301810","1840","Georgia","130","Lincoln","1810","Lincoln",1,0,0,0
"G1301850","1840","Georgia","130","Lowndes","1850","Lowndes",0,0,0,0
"G1301870","1840","Georgia","130","Lumpkin","1870","Lumpkin",0,0,0,0
"G1301910","1840","Georgia","130","McIntosh","1910","Mcintosh",1,0,0,0
"G1301930","1840","Georgia","130","Macon","1930","Macon",0,0,1,0
"G1301950","1840","Georgia","130","Madison","1950","Madison",1,1,0,1
"G1301970","1840","Georgia","130","Marion","1970","Marion",1,1,1,0
"G1301990","1840","Georgia","130","Meriwether","1990","Meriwether",0,1,2,1
"G1302070","1840","Georgia","130","Monroe","2070","Monroe",1,0,0,0
"G1302090","1840","Georgia","130","Montgomery","2090","Montgomery",0,0,0,0
"G1302110","1840","Georgia","130","Morgan","2110","Morgan",0,0,0,0
"G1302130","1840","Georgia","130","Murray","2130","Murray",0,1,0,0
"G1302150","1840","Georgia","130","Muscogee","2150","Muscogee",2,0,1,0
"G1302170","1840","Georgia","130","Newton","2170","Newton",2,2,2,0
"G1302210","1840","Georgia","130","Oglethorpe","2210","Oglethorpe",2,0,1,0
"G1302230","1840","Georgia","130","Paulding","2230","Paulding",3,2,0,0
"G1302310","1840","Georgia","130","Pike","2310","Pike",0,2,0,0
"G1302350","1840","Georgia","130","Pulaski","2350","Pulaski",2,3,0,0
"G1302370","1840","Georgia","130","Putnam","2370","Putnam",0,0,0,0
"G1302410","1840","Georgia","130","Rabun","2410","Rabun",0,0,0,0
"G1302430","1840","Georgia","130","Randolph","2430","Randolph",0,0,0,0
"G1302450","1840","Georgia","130","Richmond","2450","Richmond",0,0,0,1
"G1302510","1840","Georgia","130","Screven","2510","Screven",0,1,0,0
"G1302590","1840","Georgia","130","Stewart","2590","Stewart",3,0,1,4
"G1302610","1840","Georgia","130","Sumter","2610","Sumter",3,2,0,0
"G1302630","1840","Georgia","130","Talbot","2630","Talbot",1,1,1,2
"G1302650","1840","Georgia","130","Taliaferro","2650","Taliaferro",0,0,0,2
"G1302670","1840","Georgia","130","Tattnall","2670","Tattnall",0,0,0,0
"G1302710","1840","Georgia","130","Telfair","2710","Telfair",1,0,0,2
"G1302750","1840","Georgia","130","Thomas","2750","Thomas",1,0,0,2
"G1302850","1840","Georgia","130","Troup","2850","Troup",2,0,1,3
"G1302890","1840","Georgia","130","Twiggs","2890","Twiggs",1,0,0,0
"G1302910","1840","Georgia","130","Union","2910","Union",3,0,1,1
"G1302930","1840","Georgia","130","Upson","2930","Upson",1,1,0,0
"G1302950","1840","Georgia","130","Walker","2950","Walker",4,6,6,1
"G1302970","1840","Georgia","130","Walton","2970","Walton",0,0,0,0
"G1302990","1840","Georgia","130","Ware","2990","Ware",0,0,1,0
"G1303010","1840","Georgia","130","Warren","3010","Warren",0,0,0,0
"G1303030","1840","Georgia","130","Washington","3030","Washington",0,0,1,1
"G1303050","1840","Georgia","130","Wayne","3050","Wayne",0,0,0,0
"G1303170","1840","Georgia","130","Wilkes","3170","Wilkes",1,0,0,3
"G1303190","1840","Georgia","130","Wilkinson","3190","Wilkinson",0,0,1,3
"G1700010","1840","Illinois","170","Adams","0010","Adams",0,0,0,0
"G1700030","1840","Illinois","170","Alexander","0030","Alexander",0,0,0,0
"G1700050","1840","Illinois","170","Bond","0050","Bond",1,0,0,0
"G1700070","1840","Illinois","170","Boone","0070","Boone",0,0,0,1
"G1700090","1840","Illinois","170","Brown","0090","Brown",0,0,0,0
"G1700110","1840","Illinois","170","Bureau","0110","Bureau",0,0,0,0
"G1700130","1840","Illinois","170","Calhoun","0130","Calhoun",0,0,0,0
"G1700150","1840","Illinois","170","Carroll","0150","Carroll",0,0,0,0
"G1700170","1840","Illinois","170","Cass","0170","Cass",1,1,2,0
"G1700190","1840","Illinois","170","Champaign","0190","Champaign",0,0,0,0
"G1700210","1840","Illinois","170","Christian","0210","Christian",1,1,0,0
"G1700230","1840","Illinois","170","Clark","0230","Clark",0,1,0,4
"G1700250","1840","Illinois","170","Clay","0250","Clay",0,1,0,0
"G1700270","1840","Illinois","170","Clinton","0270","Clinton",4,1,0,0
"G1700290","1840","Illinois","170","Coles","0290","Coles",0,1,0,0
"G1700310","1840","Illinois","170","Cook","0310","Cook",1,0,1,0
"G1700330","1840","Illinois","170","Crawford","0330","Crawford",1,0,0,0
"G1700370","1840","Illinois","170","DeKalb","0370","De Kalb",0,0,0,0
"G1700390","1840","Illinois","170","De Witt","0390","De Witt",1,0,1,0
"G1700430","1840","Illinois","170","Du Page","0430","Du Page",1,2,0,0
"G1700450","1840","Illinois","170","Edgar","0450","Edgar",4,0,1,0
"G1700470","1840","Illinois","170","Edwards","0470","Edwards",1,1,0,0
"G1700490","1840","Illinois","170","Effingham","0490","Effingham",0,0,0,0
"G1700510","1840","Illinois","170","Fayette","0510","Fayette",0,0,0,0
"G1700550","1840","Illinois","170","Franklin","0550","Franklin",0,0,0,1
"G1700570","1840","Illinois","170","Fulton","0570","Fulton",2,5,3,0
"G1700590","1840","Illinois","170","Gallatin","0590","Gallatin",2,2,1,2
"G1700610","1840","Illinois","170","Greene","0610","Greene",0,2,3,0
"G1700650","1840","Illinois","170","Hamilton","0650","Hamilton",6,0,1,0
"G1700670","1840","Illinois","170","Hancock","0670","Hancock",3,1,3,0
"G1700690","1840","Illinois","170","Hardin","0690","Hardin",0,0,0,0
"G1700730","1840","Illinois","170","Henry","0730","Henry",0,0,0,0
"G1700750","1840","Illinois","170","Iroquois","0750","Iroquois",1,1,0,0
"G1700770","1840","Illinois","170","Jackson","0770","Jackson",0,1,1,2
"G1700790","1840","Illinois","170","Jasper","0790","Jasper",0,1,0,0
"G1700810","1840","Illinois","170","Jefferson","0810","Jefferson",1,2,0,0
"G1700830","1840","Illinois","170","Jersey","0830","Jersey",0,0,0,1
"G1700850","1840","Illinois","170","Jo Daviess","0850","Jo Daviess",0,1,0,1
"G1700870","1840","Illinois","170","Johnson","0870","Johnson",0,2,3,0
"G1700890","1840","Illinois","170","Kane","0890","Kane",0,0,2,0
"G1700950","1840","Illinois","170","Knox","0950","Knox",2,1,3,0
"G1700970","1840","Illinois","170","Lake","0970","Lake",0,0,1,0
"G1700990","1840","Illinois","170","La Salle","0990","La Salle",0,0,0,0
"G1701010","1840","Illinois","170","Lawrence","1010","Lawrence",0,0,0,4
"G1701030","1840","Illinois","170","Lee","1030","Lee",0,0,0,0
"G1701050","1840","Illinois","170","Livingston","1050","Livingston",0,0,0,0
"G1701070","1840","Illinois","170","Logan","1070","Logan",0,0,1,0
"G1701090","1840","Illinois","170","McDonough","1090","Mcdonough",0,0,0,0
"G1701110","1840","Illinois","170","McHenry","1110","Mchenry",0,0,0,0
"G1701130","1840","Illinois","170","McLean","1130","Mclean",0,1,1,0
"G1701150","1840","Illinois","170","Macon","1150","Macon",0,0,1,0
"G1701170","1840","Illinois","170","Macoupin","1170","Macoupin",1,1,2,0
"G1701190","1840","Illinois","170","Madison","1190","Madison",0,0,0,0
"G1701210","1840","Illinois","170","Marion","1210","Marion",0,3,5,0
"G1701230","1840","Illinois","170","Marshall","1230","Marshall",0,0,0,0
"G1701290","1840","Illinois","170","Menard","1290","Menard",1,0,0,0
"G1701310","1840","Illinois","170","Mercer","1310","Mercer",0,0,0,0
"G1701330","1840","Illinois","170","Monroe","1330","Monroe",0,1,0,0
"G1701350","1840","Illinois","170","Montgomery","1350","Montgomery",1,0,0,0
"G1701370","1840","Illinois","170","Morgan","1370","Morgan",0,1,1,0
"G1701410","1840","Illinois","170","Ogle","1410","Ogle",0,0,0,0
"G1701430","1840","Illinois","170","Peoria","1430","Peoria",0,0,0,0
"G1701450","1840","Illinois","170","Perry","1450","Perry",0,0,0,0
"G1701490","1840","Illinois","170","Pike","1490","Pike",0,0,0,0
"G1701510","1840","Illinois","170","Pope","1510","Pope",0,0,0,0
"G1701550","1840","Illinois","170","Putnam","1550","Putnam",0,0,0,0
"G1701570","1840","Illinois","170","Randolph","1570","Randolph",1,0,0,0
"G1701610","1840","Illinois","170","Rock Island","1610","Rock Island",0,0,0,0
"G1701630","1840","Illinois","170","St Clair","1630","St Clair",2,1,0,0
"G1701670","1840","Illinois","170","Sangamon","1670","Sangamon",0,0,3,0
"G1701690","1840","Illinois","170","Schuyler","1690","Schuyler",0,1,0,0
"G1701710","1840","Illinois","170","Scott","1710","Scott",0,0,0,1
"G1701730","1840","Illinois","170","Shelby","1730","Shelby",3,1,1,0
"G1701750","1840","Illinois","170","Stark","1750","Stark",0,0,0,0
"G1701770","1840","Illinois","170","Stephenson","1770","Stephenson",0,0,0,0
"G1701790","1840","Illinois","170","Tazewell","1790","Tazewell",3,1,1,3
"G1701810","1840","Illinois","170","Union","1810","Union",0,1,1,0
"G1701830","1840","Illinois","170","Vermilion","1830","Vermilion",0,0,0,0
"G1701850","1840","Illinois","170","Wabash","1850","Wabash",1,0,2,0
"G1701870","1840","Illinois","170","Warren","1870","Warren",1,0,0,1
"G1701890","1840","Illinois","170","Washington","1890","Washington",1,1,0,0
"G1701910","1840","Illinois","170","Wayne","1910","Wayne",2,0,0,0
"G1701930","1840","Illinois","170","White","1930","White",3,1,3,1
"G1701950","1840","Illinois","170","Whiteside","1950","Whiteside",0,2,0,0
"G1701970","1840","Illinois","170","Will","1970","Will",0,0,0,1
"G1701990","1840","Illinois","170","Williamson","1990","Williamson",0,3,1,0
"G1702010","1840","Illinois","170","Winnebago","2010","Winnebago",1,1,4,1
"G1800010","1840","Indiana","180","Adams","0010","Adams",0,2,1,0
"G1800030","1840","Indiana","180","Allen","0030","Allen",1,0,0,0
"G1800050","1840","Indiana","180","Bartholomew","0050","Bartholomew",2,1,0,0
"G1800090","1840","Indiana","180","Blackford","0090","Blackford",0,0,0,0
"G1800110","1840","Indiana","180","Boone","0110","Boone",7,2,3,0
"G1800130","1840","Indiana","180","Brown","0130","Brown",0,1,0,0
"G1800150","1840","Indiana","180","Carroll","0150","Carroll",0,1,1,0
"G1800170","1840","Indiana","180","Cass","0170","Cass",2,2,2,0
"G1800190","1840","Indiana","180","Clark","0190","Clark",1,0,2,0
"G1800210","1840","Indiana","180","Clay","0210","Clay",2,1,4,0
"G1800230","1840","Indiana","180","Clinton","0230","Clinton",2,0,0,0
"G1800250","1840","Indiana","180","Crawford","0250","Crawford",2,0,0,0
"G1800270","1840","Indiana","180","Daviess","0270","Daviess",0,0,0,0
"G1800290","1840","Indiana","180","Dearborn","0290","Dearborn",3,2,5,0
"G1800310","1840","Indiana","180","Decatur","0310","Decatur",0,1,2,0
"G1800330","1840","Indiana","180","DeKalb","0330","De Kalb",4,2,1,0
"G1800350","1840","Indiana","180","Delaware","0350","Delaware",3,8,3,0
"G1800370","1840","Indiana","180","Dubois","0370","Dubois",1,0,0,0
"G1800390","1840","Indiana","180","Elkhart","0390","Elkhart",1,2,2,0
"G1800410","1840","Indiana","180","Fayette","0410","Fayette",2,3,4,0
"G1800430","1840","Indiana","180","Floyd","0430","Floyd",0,0,0,0
